epoch,loss,accuracy,val_loss,val_accuracy
1,2.807067156,0.134247929,1.794323564,0.145454541
2,2.806374788,0.142365918,1.795615792,0.145454541
3,2.806494951,0.143500298,1.795322776,0.145454541
4,2.806260586,0.144989192,1.794507265,0.145454541
5,2.806019545,0.145024642,1.795307755,0.145454541
6,2.806566238,0.144989192,1.796428919,0.145454541
7,2.806623459,0.145024642,1.796286464,0.145454541
8,2.806129932,0.144811943,1.795394301,0.145454541
9,2.806490898,0.144989192,1.795819402,0.145454541
10,2.806255579,0.145166442,1.796859741,0.145454541
11,2.806717634,0.145060092,1.79607296,0.145454541
12,2.806324482,0.144847393,1.795210958,0.145454541
13,2.806700468,0.144811943,1.795703292,0.145454541
14,2.806351662,0.144918293,1.795275092,0.145454541
15,2.806440353,0.144989192,1.795328498,0.145454541
16,2.806218147,0.144953743,1.795463562,0.145454541
17,2.806329012,0.144634694,1.796079278,0.145454541
18,2.806640863,0.144882843,1.796034813,0.145454541
19,2.806456566,0.144918293,1.796091914,0.145454541
20,2.806392193,0.144918293,1.795156479,0.145454541
21,2.806490183,0.144882843,1.795826554,0.145454541
22,2.806512117,0.144741043,1.795543551,0.145454541
23,2.806389332,0.145024642,1.795539856,0.145454541
24,2.806190014,0.144634694,1.795788288,0.145454541
25,2.806676388,0.144989192,1.795627475,0.145454541
26,2.806222916,0.144670144,1.795860052,0.145454541
27,2.806610823,0.144953743,1.795662999,0.145454541
28,2.806368351,0.144918293,1.795725822,0.145454541
29,2.806337595,0.145024642,1.79576385,0.145454541
30,2.806877136,0.144953743,1.79587388,0.145454541
31,2.806528091,0.144882843,1.795830607,0.145454541
32,2.806350946,0.144847393,1.795463562,0.145454541
33,2.806124687,0.144811943,1.795543551,0.145454541
34,2.806545019,0.144847393,1.796000242,0.145454541
35,2.80643177,0.144918293,1.795616984,0.145454541
36,2.806417227,0.144918293,1.795635343,0.145454541
37,2.806810141,0.144918293,1.79519248,0.145454541
38,2.806491852,0.144882843,1.795607448,0.145454541
39,2.805968046,0.144847393,1.79559052,0.145454541
40,2.806560516,0.144811943,1.795589328,0.145454541
